DANH SÁCH TÍNH NĂNG ĐẦY ĐỦ,,,,,,
P0 = bắt buộc MVP | P1 = quan trọng | P2 = mở rộng. Cột Trạng thái & Ghi chú để bạn theo dõi.,,,,,,
,,,,,,
Vai trò,Nhóm,Tính năng,Ưu tiên,Trạng thái,Ghi chú,Đề xuất (bản như S.Sens)
Chủ nhà,Onboarding,"Hồ sơ chủ nhà, thông tin liên hệ, hợp đồng cộng tác",P1 (GĐ2),Chưa làm,,BỎ — Marketplace (GĐ2).
Chủ nhà,Quản lý listing,"Tạo/sửa/ẩn listing; tải ảnh; chọn tiện nghi, nội quy, loại phòng",P0,Chưa làm,,"RÚT GỌN — Chỉ cần CMS/nội bộ để BẠN tự thêm–sửa căn, không phải cổng đa chủ nhà."
Chủ nhà,Quản lý listing,"Địa chỉ + ghim bản đồ; số khách tối đa, phòng ngủ/giường/WC",P0,Chưa làm,,GIỮ — Nhập địa chỉ + map tĩnh cho mỗi căn.
Chủ nhà,Quản lý listing,Trạng thái duyệt (chờ duyệt/đã duyệt/từ chối),P1 (GĐ2),Chưa làm,,BỎ — Không có luồng duyệt (không đa chủ nhà).
Chủ nhà,Lịch & giá,"Quản lý lịch, chặn ngày, đặt số đêm tối thiểu/tối đa",P0,Chưa làm,,BỎ — Lịch để Airbnb/Agoda lo; không đặt trên web.
Chủ nhà,Lịch & giá,Đồng bộ iCal 2 chiều với Airbnb/Booking (chống double-booking),P1,Chưa làm,,BỎ — Không quản lý lịch trên web.
Chủ nhà,Lịch & giá,"Giá theo mùa/cuối tuần/ngày lễ, phụ thu khách thêm, phí dọn",P1,Chưa làm,,BỎ — Giá động thuộc engine đặt phòng.
Chủ nhà,Lịch & giá,"Giảm giá theo tuần/tháng, giá dài hạn cho căn hộ dịch vụ",P1,Chưa làm,,BỎ — Như trên.
Chủ nhà,Vận hành,"Nhận/từ chối yêu cầu đặt phòng, xác nhận booking",P0,Chưa làm,,"RÚT GỌN — Chỉ nhận email yêu cầu từ form, liên hệ lại thủ công."
Chủ nhà,Vận hành,"Báo cáo doanh thu, tỷ lệ lấp đầy, lịch dòng tiền",P1,Chưa làm,,BỎ — Không có dữ liệu booking để báo cáo.
Chủ nhà,Vận hành,Đối soát & nhận payout (tiền về tài khoản),P1 (GĐ2),Chưa làm,,BỎ — Không thu tiền qua web (GĐ2).
Admin,Dashboard,"Tổng quan: số booking, doanh thu, tỷ lệ lấp đầy, top listing",P0,Chưa làm,,BỎ — Không có booking/doanh thu trong hệ thống.
Admin,Người dùng,"Quản lý khách & chủ nhà, khóa/mở tài khoản, phân quyền (RBAC)",P0/P1,Chưa làm,,BỎ — Không có tài khoản người dùng.
Admin,Listing,"Duyệt/từ chối listing, chỉnh sửa, gắn nổi bật",P1 (GĐ2),Chưa làm,,BỎ — Không đa chủ nhà (GĐ2).
Admin,Booking,"Xem toàn bộ đơn, can thiệp, hoàn/hủy, xử lý tranh chấp",P0,Chưa làm,,BỎ — Không quản lý booking trên web.
Admin,Tài chính,"Cấu hình hoa hồng/phí, đối soát thanh toán, quản lý payout, xuất báo cáo",P1 (GĐ2),Chưa làm,,BỎ — Không có dòng tiền qua web (GĐ2).
Admin,Nội dung/CMS,"Banner, trang landing khu vực, blog, cấu hình SEO",P2,Chưa làm,,"GIỮ ⭐ — Đây là thứ bạn THỰC SỰ cần: CMS sửa nội dung, ảnh, banner khuyến mãi, SEO."
Admin,Hỗ trợ,"Ticket/khiếu nại, nhật ký hệ thống, gửi thông báo hàng loạt",P2,Chưa làm,,BỎ — Không cần hệ thống ticket; dùng email/WhatsApp.
Admin,Cấu hình,"Danh mục tiện nghi, loại phòng, khu vực, thuế/phí, mẫu email/SMS",P1,Chưa làm,,"RÚT GỌN — Chỉ cần cấu hình nội dung cơ bản (danh mục tiện nghi, khu vực)."
